,date,nav
724,24-07-2023,143.18320
725,21-07-2023,142.80640
726,20-07-2023,143.06150
727,19-07-2023,142.43170
728,18-07-2023,141.89480
729,17-07-2023,142.20500
730,14-07-2023,141.09830
731,13-07-2023,140.34480
732,12-07-2023,140.80360
733,11-07-2023,139.90540
734,10-07-2023,139.47430
735,07-07-2023,139.51120
736,06-07-2023,139.62780
737,05-07-2023,138.95790
738,04-07-2023,138.28760
739,03-07-2023,138.67420
740,30-06-2023,138.08830
741,28-06-2023,137.56100
742,27-06-2023,137.51730
743,26-06-2023,137.17380
744,23-06-2023,136.35240
745,22-06-2023,137.25140
746,21-06-2023,137.85180
747,20-06-2023,137.38780
748,19-06-2023,137.02580
749,16-06-2023,137.26180
750,15-06-2023,136.67750
751,14-06-2023,136.54230
752,13-06-2023,135.98440
753,12-06-2023,134.70180
754,09-06-2023,134.11180
755,08-06-2023,134.56460
756,07-06-2023,134.98550
757,06-06-2023,133.57340
758,05-06-2023,133.11770
759,02-06-2023,132.61400
760,01-06-2023,132.33410
761,31-05-2023,132.29130
762,30-05-2023,131.90120
763,29-05-2023,131.71390
764,26-05-2023,131.58210
765,25-05-2023,131.16350
766,24-05-2023,130.98640
767,23-05-2023,130.87000
768,22-05-2023,131.12640
769,19-05-2023,130.23830
770,18-05-2023,130.64470
771,17-05-2023,130.56820
772,16-05-2023,130.81270
773,15-05-2023,130.52590
774,12-05-2023,130.14330
775,11-05-2023,130.28510
776,10-05-2023,129.45460
777,09-05-2023,128.82740
778,08-05-2023,128.98770
779,05-05-2023,127.73710
780,04-05-2023,128.18460
781,03-05-2023,127.49300
782,02-05-2023,127.35450
783,28-04-2023,127.17120
784,27-04-2023,126.33800
785,26-04-2023,125.86180
786,25-04-2023,125.39490
787,24-04-2023,125.37200
788,21-04-2023,125.22840
789,20-04-2023,125.37920
790,19-04-2023,124.62460
791,18-04-2023,124.32440
792,17-04-2023,124.27280
793,13-04-2023,123.99110
794,12-04-2023,123.68080
795,11-04-2023,123.22150
796,10-04-2023,122.94160
797,06-04-2023,122.78110
798,05-04-2023,122.62120
799,03-04-2023,122.12710
800,31-03-2023,121.71440
801,29-03-2023,120.03710
802,28-03-2023,118.30580
803,27-03-2023,119.38300
804,24-03-2023,120.27450
805,23-03-2023,121.70650
806,22-03-2023,121.41560
807,21-03-2023,120.99530
808,20-03-2023,120.33440
809,17-03-2023,121.44600
810,16-03-2023,120.94170
811,15-03-2023,121.86050
812,14-03-2023,121.75290
813,13-03-2023,122.77710
814,10-03-2023,124.21100
815,09-03-2023,124.55020
816,08-03-2023,124.74690
817,06-03-2023,124.83390
818,03-03-2023,123.94810
819,02-03-2023,123.39930
820,01-03-2023,123.66500
821,28-02-2023,122.87010
822,27-02-2023,122.05520
823,24-02-2023,123.17770
824,23-02-2023,123.05130
825,22-02-2023,123.39200
826,21-02-2023,124.51720
827,20-02-2023,124.98140
828,17-02-2023,125.11190
829,16-02-2023,124.97140
830,15-02-2023,124.45060
831,14-02-2023,124.09160
832,13-02-2023,124.40560
833,10-02-2023,125.17020
834,09-02-2023,124.73790
835,08-02-2023,125.11170
836,07-02-2023,124.41820
837,06-02-2023,123.99210
838,03-02-2023,124.29070
839,02-02-2023,124.00830
840,01-02-2023,123.47840
841,31-01-2023,124.31380
842,30-01-2023,122.36330
843,27-01-2023,122.69620
844,25-01-2023,123.75220
845,24-01-2023,124.13280
846,23-01-2023,124.42500
847,20-01-2023,124.80500
848,19-01-2023,125.54330
849,18-01-2023,125.71860
850,17-01-2023,125.80740
851,16-01-2023,125.98320
852,13-01-2023,126.05880
853,12-01-2023,126.19640
854,11-01-2023,125.90800
855,10-01-2023,125.80040
856,09-01-2023,126.44620
857,06-01-2023,125.71850
858,05-01-2023,126.73270
859,04-01-2023,126.72660
860,03-01-2023,127.70460
861,02-01-2023,127.84040
862,30-12-2022,127.33480
863,29-12-2022,127.02110
864,28-12-2022,126.64490
865,27-12-2022,126.32000
866,26-12-2022,125.30490
867,23-12-2022,122.57510
